Comparison,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
LC_vs_Healthy,GO:0001906,cell killing,74,0.6079821638603035,1.8341807747832541,9.035377438843343e-8,5.042591247445413e-5,3.8352324762698337e-5,460,"tags=36%, list=11%, signal=33%",DEFA1/DEFA3/DEFA1B/CORO1A/GBP1/PTPRC/ITGAM/LGALS9/GBP2/HLA-A/HLA-C/SERPINB9/HLA-DRB1/CYRIB/H2BC12/ICAM1/HLA-B/HLA-E/HLA-G/CTSC/GRB2/RPS19/STX7/KRT6A/RAB27A/SERPINB4/NCKAP1L,0.7049757151672383
LC_vs_Healthy,GO:0070663,regulation of leukocyte proliferation,51,0.6243681504739952,1.8339251475315888,3.832873610834644e-6,1.793465443736377e-4,1.3640520473219063e-4,716,"tags=37%, list=17%, signal=31%",PTPRC/LGALS9/MNDA/HLA-A/HLA-DPB1/HLA-DRB1/HMGB1/RAC2/TFRC/HLA-E/HLA-G/CD74/LYN/NCK1/BST2/NCKAP1L/NCK2/PRKAR1A/CEBPB,0.610526878385931
LC_vs_Healthy,GO:0048562,embryonic organ morphogenesis,20,-0.4953690390862434,-1.8331273243518886,0.008299160597265258,0.04931194365465018,0.03750507596032347,462,"tags=30%, list=11%, signal=27%",FBN2/FBN1/CTNNB1/EFEMP1/DNAAF1/COL2A1,0.3807304007227924
LC_vs_Healthy,GO:0060538,skeletal muscle organ development,29,-0.455781721352312,-1.8268393053073584,0.0010515802703188035,0.010358988101473827,0.007878712677374368,389,"tags=41%, list=9%, signal=38%",IGSF8/MYLK2/CAV2/ACTA1/CAV1/GPC1/CTNNB1/ASS1/DES/COL6A1/PLEC/MYH14,0.45505986738722953
LC_vs_Healthy,GO:0032946,positive regulation of mononuclear cell proliferation,26,0.6751476098313104,1.8209106735094351,2.1265422003743882e-4,0.003461024479739765,0.0026323437364841737,460,"tags=38%, list=11%, signal=34%",PTPRC/LGALS9/HLA-A/HLA-DPB1/HMGB1/TFRC/HLA-E/CD74/NCK1/NCKAP1L,0.5188480777437918
LC_vs_Healthy,GO:0050671,positive regulation of lymphocyte proliferation,26,0.6751476098313104,1.8209106735094351,2.1265422003743882e-4,0.003461024479739765,0.0026323437364841737,460,"tags=38%, list=11%, signal=34%",PTPRC/LGALS9/HLA-A/HLA-DPB1/HMGB1/TFRC/HLA-E/CD74/NCK1/NCKAP1L,0.5188480777437918
LC_vs_Healthy,GO:0009063,amino acid catabolic process,46,-0.3884652101560266,-1.8203572084736683,0.0011196550004609015,0.010839418668255107,0.00824411269135443,567,"tags=39%, list=13%, signal=34%",GLUD1/ALDH4A1/HIBCH/GPT/MCCC2/MCCC1/ARG1/ALDH5A1/HMGCL/ALDH7A1/BCKDHA/SHMT1/BLMH/ACAD8/ACAT1/ASS1/DBT/ALDH6A1,0.45505986738722953
LC_vs_Healthy,GO:0008203,cholesterol metabolic process,55,-0.3985529390940354,-1.8089847486231823,1.2889307165663547e-4,0.0024407391269011965,0.001856347561451892,484,"tags=42%, list=11%, signal=38%",APOE/GBA1/SULT2B1/MVD/CYB5R3/PMVK/MSMO1/APOL1/FDXR/NSDHL/TM7SF2/FDFT1/LIPE/MVK/FDPS/HMGCS2/DHCR24/APOB/CYP51A1/DHCR7/APOA1/APOA4/HMGCS1,0.5188480777437918
LC_vs_Healthy,GO:0002181,cytoplasmic translation,169,0.569901151949467,1.7965340505755776,1e-10,1.123e-7,8.54117627129294e-8,1211,"tags=59%, list=29%, signal=44%",RPL7A/RPL31/RPL26L1/RPL26/RPS3A/RPL21/RPL23A/PKM/RPL34/RPL10/RPS23/RPL6/YTHDF2/RPL13A/RPL19/RPL32/RPS26/RPL3/RPL27A/RPL17/RPL22/RPS21/RPS11/RPL18A/DDRGK1/RPL24/RPS19/NCBP2/NPM1/EIF2S2/RPS17/RPL37A/RPL7/RPL27/NCK1/RPS15/EIF3H/RPL4/RPL28/RPS20/RPS24/PABPC1/EIF2AK2/RPS18/SH3BGRL/HNRNPU/EIF3A/PAIP1/RPL29/RPL5/FAU/RPL14/SYNCRIP/RPS12/EIF2S3/MCTS1/EEF1D/RPS16/FMR1/RPS13/RPS9/RPL30/EIF2B4/EIF3CL/EIF3C/RPL36AL/RPL36A/EIF4G1/EIF3J/RPS14/RPS25/ABCE1/CDK5RAP3/AARS1/EIF5/SKIC8/RPL18/EPRS1/CSDE1/RPL12/RPS8/ZC3H15/YBX1/RPL15/DHX29/EIF3G/RPL13/PELO/NCBP1/RPL23/RPL11/RPL35/RPS2/RPL10A/RPS29/ETF1/RPS10/RPL35A/EIF2B3,NA
LC_vs_Healthy,GO:1903039,positive regulation of leukocyte cell-cell adhesion,73,0.6012074506810735,1.7954088659038543,3.839264108503778e-7,6.828810127756642e-5,5.193773020869095e-5,682,"tags=41%, list=16%, signal=35%",ITGB2/PTPRC/LGALS9/HLA-A/HLA-DPB1/HLA-DRB1/PTPN6/CSK/CYRIB/AP3B1/HMGB1/CD47/TFRC/HLA-E/HLA-G/SMARCC2/RELA/HLA-DRB5/LYN/SRC/YES1/NCK1/SART1/NCKAP1L/HSPH1/HLA-DRB3/HLA-DRA/LCK/CD44/NCK2,0.674962860011025
